64477,13613,297.2491760253906,299.3999938964844,0,3,125,120,68,327,3463,99,1616197525903
64478,13613,297.2816162109375,299.3999938964844,0,2,126,120,68,327,3447,98,1616197526773
64478,13614,297.2875671386719,299.40582275390625,0,0,126,121,68,328,3447,100,1616197527643
64478,13616,297.2994079589844,299.4174499511719,0,0,126,121,68,328,3447,100,1616197528513
64475,13613,297.1842956542969,299.3999938964844,1,0,126,121,68,328,3447,100,1616197529383
64475,13611,297.17242431640625,299.38836669921875,0,0,126,121,68,329,3447,100,1616197530253
64475,13613,297.1842956542969,299.3999938964844,0,0,126,121,68,329,3447,100,1616197531123
64477,13615,297.26104736328125,299.41162109375,0,1,125,121,68,329,3463,100,1616197531993
64477,13612,297.24322509765625,299.3941650390625,0,1,125,121,68,329,3463,100,1616197532863
64477,13612,297.24322509765625,299.3941650390625,0,2,125,120,68,328,3463,99,1616197533733
64478,13611,297.2697448730469,299.38836669921875,0,2,125,120,68,328,3463,99,1616197534603
64475,13611,297.17242431640625,299.38836669921875,0,1,125,120,68,327,3463,99,1616197535473
64477,13611,297.2373046875,299.38836669921875,1,2,125,120,68,326,3463,99,1616197536343
64478,13612,297.2756652832031,299.3941650390625,0,2,124,119,67,324,3449,98,1616197537213
64477,13612,297.24322509765625,299.3941650390625,0,0,123,118,67,323,3466,97,1616197538083
64478,13612,297.2756652832031,299.3941650390625,0,1,123,118,67,323,3466,97,1616197538952
64478,13614,297.2875671386719,299.40582275390625,0,1,123,117,66,321,3435,96,1616197539823
64478,13616,297.2994079589844,299.4174499511719,1,2,122,117,66,320,3452,96,1616197540693
64476,13614,297.2226867675781,299.40582275390625,1,2,122,116,66,319,3452,95,1616197541563
64479,13619,297.3495788574219,299.43487548828125,1,3,122,116,66,319,3452,95,1616197542433
64476,13618,297.2464294433594,299.4290771484375,0,2,122,115,65,317,3420,94,1616197543303
64476,13621,297.26422119140625,299.4465026855469,0,2,121,114,65,316,3437,93,1616197544173
64477,13621,297.296630859375,299.4465026855469,0,2,121,114,65,315,3437,93,1616197545043
64476,13625,297.2879638671875,299.4697570800781,1,0,121,113,65,314,3437,91,1616197545913
64474,13624,297.2171936035156,299.4639587402344,1,2,121,113,65,314,3437,91,1616197546783
64472,13625,297.158203125,299.4697570800781,1,3,121,113,64,313,3406,92,1616197547653
64471,13627,297.13763427734375,299.48138427734375,0,1,121,112,64,312,3406,90,1616197548523
64474,13624,297.2171936035156,299.4639587402344,1,0,120,112,64,311,3423,90,1616197549392
64475,13627,297.26739501953125,299.48138427734375,0,0,119,111,63,308,3408,90,1616197550262
64479,13625,297.3851623535156,299.4697570800781,1,5,119,110,63,307,3408,88,1616197551132
64476,13627,297.2998352050781,299.48138427734375,1,2,118,110,62,304,3392,89,1616197552002
64478,13626,297.35870361328125,299.4755859375,0,2,118,109,62,303,3392,88,1616197552872
64475,13633,297.3030090332031,299.5162658691406,0,2,118,109,62,303,3392,88,1616197553742
64475,13632,297.2970886230469,299.5104675292969,0,2,117,108,61,301,3377,87,1616197554612
64474,13634,297.27655029296875,299.5220947265625,1,3,117,108,61,300,3377,87,1616197555482
64473,13635,297.25006103515625,299.52789306640625,0,1,116,107,61,298,3394,86,1616197556352
64488,13632,297.7176513671875,299.5104675292969,1,20,116,106,60,297,3361,85,1616197557222
64487,13633,297.6912536621094,299.5162658691406,3,11,110,99,57,279,3365,78,1616197558092
64473,13637,297.2619323730469,299.5395202636719,2,1,112,102,58,285,3364,82,1616197558962
64471,13633,297.17327880859375,299.5162658691406,1,18,114,104,59,291,3362,83,1616197559831
64468,13635,297.0877685546875,299.52789306640625,3,10,114,103,59,290,3362,82,1616197560702
64471,13638,297.2030029296875,299.54534912109375,3,4,114,103,59,289,3362,82,1616197561572
64470,13634,297.14678955078125,299.5220947265625,2,1,112,101,58,285,3364,80,1616197562442
64467,13635,297.0552978515625,299.52789306640625,2,1,112,101,58,284,3364,80,1616197563311
64468,13634,297.08184814453125,299.5220947265625,2,1,112,100,58,283,3364,79,1616197564181
64467,13634,297.04937744140625,299.5220947265625,1,1,112,100,58,282,3364,79,1616197565052
64468,13635,297.0877685546875,299.52789306640625,1,1,112,100,58,282,3364,79,1616197565922
64467,13634,297.04937744140625,299.5220947265625,1,1,111,100,57,281,3347,80,1616197566791
64467,13636,297.0612487792969,299.5337219238281,0,1,111,99,57,280,3347,78,1616197567660
64468,13635,297.0877685546875,299.52789306640625,1,2,111,99,57,280,3347,78,1616197568531
64465,13637,297.0022277832031,299.5395202636719,0,1,111,98,57,278,3347,76,1616197569401
64464,13635,296.9577941894531,299.52789306640625,1,2,110,98,56,277,3330,77,1616197570271
64465,13636,296.99627685546875,299.5337219238281,0,1,109,97,56,275,3348,76,1616197571140
64465,13637,297.0022277832031,299.5395202636719,0,0,109,96,55,273,3313,75,1616197572011
64465,13635,296.99029541015625,299.52789306640625,0,0,109,96,55,271,3313,75,1616197572881
64463,13635,296.9252624511719,299.52789306640625,0,1,108,94,54,268,3296,73,1616197573751
64463,13637,296.93719482421875,299.5395202636719,1,3,107,94,54,267,3313,74,1616197574620
64462,13635,296.8927307128906,299.52789306640625,0,3,107,93,54,265,3313,72,1616197575490
64463,13636,296.9312438964844,299.5337219238281,1,1,106,92,53,263,3296,72,1616197576360
64462,13635,296.8927307128906,299.52789306640625,1,1,106,92,53,261,3296,72,1616197577230
64463,13634,296.9193115234375,299.5220947265625,0,0,105,91,52,260,3277,71,1616197578100
64461,13635,296.8601989746094,299.52789306640625,0,0,105,91,52,259,3277,71,1616197578970
